Missile Category	Missile Name	missile_quanity	Fleet Name	icao_code	munition_weight	munition_length	origin_place	unit_cost	fleet_options	Range	warhead	warhead_weight
Air-to-air mission loadout	AIM-120C/D AMRAAM	6	F-22 Raptor	F-22	356 lb (161.5 kg)	12 ft (3.65 m)	United States	US$1,090,000	Boeing F/A-18E/F Super Hornet British Aerospace Hawk 200 Eurofighter Typhoon General Dynamics F-16 Fighting Falcon KAI FA-50 Golden Eagle Lockheed Martin F-22 Raptor Lockheed Martin F-35 Lightning II McDonnell Douglas AV-8B+ Harrier II McDonnell Douglas F-4 Phantom II McDonnell Douglas F-15 Eagle McDonnell Douglas F-15E Strike Eagle McDonnell Douglas F/A-18 Hornet Northrop F-5 S/T Panavia Tornado ADV Sea Harrier FA2 Saab JAS 39 Gripen Saab JA37 Viggen		High explosive blast-fragmentation	AIM-120A/B – 49 lb (22 kg) AIM-120C/D – 44 lb (20 kg)
Air-launched cruise missile Surface-to-surface missile	M61A2 Vulcan rotary cannon	1	F-22 Raptor	F-22	 2,251 lb (1,021 kg)	14.0 ft (4.27 m)	United States	US$1,266,000	B-1 Lancer B-2 Spirit B-52 Stratofortress F-15E Strike Eagle F-16 Fighting Falcon F/A-18 Hornet	370 km		
Air-to-air mission loadout	AIM-9 Sidewinder	2	F-22 Raptor	F-22	188 pounds (85.3 kg)	9 feet 11 inches (3.02 m)		US$381,069.74 (Block II) US$399,500.00 (Block II Plus) US$209,492.75 (training missile)	Aircraft, naval vessels, fixed launchers, and ground vehicles	0.6 to 22 miles (1.0 to 35.4 km)	WDU-17/B	20.8 lb (9.4 kg)
Air-to-ground mission loadout	250 lb (110 kg) GBU-39 Small Diameter Bombs	8	F-22 Raptor	F-22								
Air-to-ground mission loadout	GBU-32 JDAMs	2	F-22 Raptor	F-22		9.9–12.75 feet (3.02–3.89 m)	United States	About US$25,000 (Depends on acquisition lot. Foreign sales have considerably higher prices.)		Up to 15 nautical miles (28 km)		
Air-to-ground mission loadout	SDBs	8	F-22 Raptor	F-22								
Air-to-ground mission loadout	1,000 lb (450 kg) JDAM	2	F-22 Raptor	F-22	450kg	9.9–12.75 feet (3.02–3.89 m)		About US$25,000 (Depends on acquisition lot. Foreign sales have considerably higher prices.)		Up to 15 nautical miles (28 km)		
Hardpoint	under-wing pylon stations	4	F-22 Raptor	F-22			United States					
Hardpoint	U.S. gallon (2,270 L) drop tanks	600	F-22 Raptor	F-22			United States					
Hardpoint	AIM-120 AMRAAM (external)	4	F-22 Raptor	F-22		12 ft (3.65 m)	United States	US$1,090,000 (AIM-120D FY 2019)[1]		AIM-120A/B/C-3/4 – 27 nmi (50 km) AIM-120C-5/6/7 – 57 nmi (105 km) AIM-120D – 86 nmi (160 km)	High explosive blast-fragmentation	AIM-120A/B – 49 lb (22 kg) AIM-120C/D – 44 lb (20 kg)
Air-to-air missiles	AIM-9 Sidewinder	6	F-16 Fighting Falcon	F-16			United States					
Air-to-air missiles	AIM-120 AMRAAM\	6	F-16 Fighting Falcon	F-16		12 ft (3.65 m)	United States	US$1,090,000 (AIM-120D FY 2019)[1]		AIM-120A/B/C-3/4 – 27 nmi (50 km) AIM-120C-5/6/7 – 57 nmi (105 km) AIM-120D – 86 nmi (160 km)	High explosive blast-fragmentation	AIM-120A/B – 49 lb (22 kg) AIM-120C/D – 44 lb (20 kg)
Air-to-air missiles	IRIS-T	6	F-16 Fighting Falcon	F-16		2.94 m (9.6 ft)[4]	Italy, Germany, Sweden, Greece, Norway, Spain	€380,000[2] (~US$430,000) €140 million (complete battery)[3]		25 km (16 mi)[4][clarification needed]	HE/Fragmentation 	
Air-to-air missiles	Python-4	6	F-16 Fighting Falcon	F-16	103.6 kilograms (228 pounds 6 ounces)	3.1 metres (10 feet)	Israel	Shafrir series: Shafrir-1: US$20,000	 CASA C-101 Aviojet F-4E Kurnass 2000 F-5E/F Tiger-II McDonnell Douglas F-15 Eagle General Dynamics F-16 Fighting Falcon[1] Dassault Mirage III Dassault Mirage 5 Dassault Mirage 2000 IAI Nesher/Dagger/Finger IAI Kfir BAE Sea Harrier HAL Tejas SAAB Gripen NG[2] Sukhoi Su-30MKI	>20 kilometres (12 miles)		11 kg (24 lb 4 oz)
